"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",40684,0.5000
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",16274,0.2000
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","ALL","All Phases - Total","Total","Current",81368,1.0000
"Mudug Urban (Gaalkacyo)","SOM","1","Phase 1 - Minimal","Minimal","Current",30059,0.5000
"Mudug Urban (Gaalkacyo)","SOM","2","Phase 2 - Stressed","Stressed","Current",27053,0.4500
"Mudug Urban (Gaalkacyo)","SOM","3","Phase 3 - Crisis","Crisis","Current",3006,0.0500
"Mudug Urban (Gaalkacyo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3006,0.0500
"Mudug Urban (Gaalkacyo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Mudug Urban (Gaalkacyo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Mudug Urban (Gaalkacyo)","SOM","ALL","All Phases - Total","Total","Current",60118,1.0000
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","1","Phase 1 - Minimal","Minimal","Current",35109,0.4000
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","2","Phase 2 - Stressed","Stressed","Current",48275,0.5500
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","3","Phase 3 - Crisis","Crisis","Current",4389,0.0500
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",4389,0.0500
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Mudug Urban (Galdogob, Hobyo, Jariiban and Xarardheere)","SOM","ALL","All Phases - Total","Total","Current",87772,1.0000
"Mudug Urban IDPs (Gaalkacyo)","SOM","1","Phase 1 - Minimal","Minimal","Current",12160,0.1000
"Mudug Urban IDPs (Gaalkacyo)","SOM","2","Phase 2 - Stressed","Stressed","Current",42559,0.3500
"Mudug Urban IDPs (Gaalkacyo)","SOM","3","Phase 3 - Crisis","Crisis","Current",42559,0.3500
"Mudug Urban IDPs (Gaalkacyo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",66878,0.5500
"Mudug Urban IDPs (Gaalkacyo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",24319,0.2000
"Mudug Urban IDPs (Gaalkacyo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Mudug Urban IDPs (Gaalkacyo)","SOM","ALL","All Phases - Total","Total","Current",121596,1.0000
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","1","Phase 1 - Minimal","Minimal","Current",490,0.0500
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","2","Phase 2 - Stressed","Stressed","Current",4897,0.5000
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","3","Phase 3 - Crisis","Crisis","Current",2449,0.2500
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",4407,0.4500
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1959,0.2000
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Mudug Urban IDPs (Galdogob, Hobyo, and Jariiban)","SOM","ALL","All Phases - Total","Total","Current",9794,1.0000
"NE Addun pastoral (Mudug, Nugaal)","SOM","1","Phase 1 - Minimal","Minimal","Current",59460,0.2000
"NE Addun pastoral (Mudug, Nugaal)","SOM","2","Phase 2 - Stressed","Stressed","Current",89190,0.3000
"NE Addun pastoral (Mudug, Nugaal)","SOM","3","Phase 3 - Crisis","Crisis","Current",89190,0.3000
"NE Addun pastoral (Mudug, Nugaal)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",148650,0.5000
"NE Addun pastoral (Mudug, Nugaal)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",59460,0.2000
"NE Addun pastoral (Mudug, Nugaal)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NE Addun pastoral (Mudug, Nugaal)","SOM","ALL","All Phases - Total","Total","Current",297299,1.0000
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","1","Phase 1 - Minimal","Minimal","Current",4235,0.0500
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","2","Phase 2 - Stressed","Stressed","Current",25407,0.3000
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","3","Phase 3 - Crisis","Crisis","Current",33876,0.4000
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",55049,0.6500
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",21173,0.2500
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NE Coastal Deeh Pastoral (Bari, Mudug and Nugal)","SOM","ALL","All Phases - Total","Total","Current",84690,1.0000
"NE East Golis Pastoral (Bari)","SOM","1","Phase 1 - Minimal","Minimal","Current",68242,0.1000
"NE East Golis Pastoral (Bari)","SOM","2","Phase 2 - Stressed","Stressed","Current",307087,0.4500
"NE East Golis Pastoral (Bari)","SOM","3","Phase 3 - Crisis","Crisis","Current",238846,0.3500
"NE East Golis Pastoral (Bari)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",307087,0.4500
"NE East Golis Pastoral (Bari)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",68242,0.1000
"NE East Golis Pastoral (Bari)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NE East Golis Pastoral (Bari)","SOM","ALL","All Phases - Total","Total","Current",682416,1.0000
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","1","Phase 1 - Minimal","Minimal","Current",122807,0.2000
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","2","Phase 2 - Stressed","Stressed","Current",214912,0.3500
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","3","Phase 3 - Crisis","Crisis","Current",184210,0.3000
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",276315,0.4500
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",92105,0.1500
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NE Hawd Pastoral (North Mudug and Nugaal)","SOM","ALL","All Phases - Total","Total","Current",614033,1.0000
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","1","Phase 1 - Minimal","Minimal","Current",27545,0.0500
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","2","Phase 2 - Stressed","Stressed","Current",220357,0.4000
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","3","Phase 3 - Crisis","Crisis","Current",165268,0.3000
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",302991,0.5500
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",137723,0.2500
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NE Northern Inland Pastoral (Bari and Nugaal)","SOM","ALL","All Phases - Total","Total","Current",550892,1.0000
"Nugaal Urban (Burtinle and Eyl)","SOM","1","Phase 1 - Minimal","Minimal","Current",12003,0.4500
"Nugaal Urban (Burtinle and Eyl)","SOM","2","Phase 2 - Stressed","Stressed","Current",13337,0.5000
"Nugaal Urban (Burtinle and Eyl)","SOM","3","Phase 3 - Crisis","Crisis","Current",1334,0.0500
"Nugaal Urban (Burtinle and Eyl)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1334,0.0500
"Nugaal Urban (Burtinle and Eyl)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Nugaal Urban (Burtinle and Eyl)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Nugaal Urban (Burtinle and Eyl)","SOM","ALL","All Phases - Total","Total","Current",26673,1.0000
"Nugaal Urban (Garoowe)","SOM","1","Phase 1 - Minimal","Minimal","Current",5363,0.4500
"Nugaal Urban (Garoowe)","SOM","2","Phase 2 - Stressed","Stressed","Current",5959,0.5000
"Nugaal Urban (Garoowe)","SOM","3","Phase 3 - Crisis","Crisis","Current",596,0.0500
"Nugaal Urban (Garoowe)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",596,0.0500
"Nugaal Urban (Garoowe)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Nugaal Urban (Garoowe)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Nugaal Urban (Garoowe)","SOM","ALL","All Phases - Total","Total","Current",11918,1.0000
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","1","Phase 1 - Minimal","Minimal","Current",0,0.0000
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","2","Phase 2 - Stressed","Stressed","Current",2770,0.4500
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","3","Phase 3 - Crisis","Crisis","Current",2155,0.3500
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3386,0.5500
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1231,0.2000
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Nugaal Urban IDPs (Burtinle and Eyl)","SOM","ALL","All Phases - Total","Total","Current",6156,1.0000
"Nugaal Urban IDPs (Garoowe)","SOM","1","Phase 1 - Minimal","Minimal","Current",2596,0.0500
"Nugaal Urban IDPs (Garoowe)","SOM","2","Phase 2 - Stressed","Stressed","Current",23366,0.4500
"Nugaal Urban IDPs (Garoowe)","SOM","3","Phase 3 - Crisis","Crisis","Current",15578,0.3000
"Nugaal Urban IDPs (Garoowe)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",25963,0.5000
"Nugaal Urban IDPs (Garoowe)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",10385,0.2000
"Nugaal Urban IDPs (Garoowe)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Nugaal Urban IDPs (Garoowe)","SOM","ALL","All Phases - Total","Total","Current",51925,1.0000
"NW East Golis Pastoral (Sanaag)","SOM","1","Phase 1 - Minimal","Minimal","Current",25930,0.2000
"NW East Golis Pastoral (Sanaag)","SOM","2","Phase 2 - Stressed","Stressed","Current",38894,0.3000
"NW East Golis Pastoral (Sanaag)","SOM","3","Phase 3 - Crisis","Crisis","Current",45377,0.3500
"NW East Golis Pastoral (Sanaag)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",64824,0.5000
"NW East Golis Pastoral (Sanaag)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",19447,0.1500
"NW East Golis Pastoral (Sanaag)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW East Golis Pastoral (Sanaag)","SOM","ALL","All Phases - Total","Total","Current",129648,1.0000
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","1","Phase 1 - Minimal","Minimal","Current",30497,0.1500
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","2","Phase 2 - Stressed","Stressed","Current",60993,0.3000
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","3","Phase 3 - Crisis","Crisis","Current",81324,0.4000
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",111821,0.5500
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",30497,0.1500
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW Guban Pastoral (Awdal, Sanaag and W. Galbeed)","SOM","ALL","All Phases - Total","Total","Current",203310,1.0000
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","1","Phase 1 - Minimal","Minimal","Current",250440,0.2500
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","2","Phase 2 - Stressed","Stressed","Current",500880,0.5000
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","3","Phase 3 - Crisis","Crisis","Current",200352,0.2000
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",250440,0.2500
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",50088,0.0500
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW Hawd Pastoral of NW (W. Galbeed, Toghdeer and Sool)","SOM","ALL","All Phases - Total","Total","Current",1001759,1.0000
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","1","Phase 1 - Minimal","Minimal","Current",55200,0.1000
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","2","Phase 2 - Stressed","Stressed","Current",138001,0.2500
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","3","Phase 3 - Crisis","Crisis","Current",193201,0.3500
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",358803,0.6500
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",165601,0.3000
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW Northern Inland Pastoral (Sanaag and Sool)","SOM","ALL","All Phases - Total","Total","Current",552004,1.0000
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","1","Phase 1 - Minimal","Minimal","Current",208996,0.4000
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","2","Phase 2 - Stressed","Stressed","Current",208996,0.4000
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","3","Phase 3 - Crisis","Crisis","Current",78374,0.1500
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",104498,0.2000
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",26125,0.0500
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW Northwest Agro-pastoral (Awdal, W. Galbeed & Togdheer)","SOM","ALL","All Phases - Total","Total","Current",522490,1.0000
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","1","Phase 1 - Minimal","Minimal","Current",18804,0.3500
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","2","Phase 2 - Stressed","Stressed","Current",24177,0.4500
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","3","Phase 3 - Crisis","Crisis","Current",8059,0.1500
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",10745,0.2000
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2686,0.0500
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW Toghdeer Agro-pastoral (Toghdeer)","SOM","ALL","All Phases - Total","Total","Current",53726,1.0000
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","1","Phase 1 - Minimal","Minimal","Current",186384,0.2500
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","2","Phase 2 - Stressed","Stressed","Current",447321,0.6000
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","3","Phase 3 - Crisis","Crisis","Current",111830,0.1500
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",111830,0.1500
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"NW West Golis Pastoral (Awdal, W. Galbeed, Toghdeer, Sool and Sanaag)","SOM","ALL","All Phases - Total","Total","Current",745535,1.0000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","1","Phase 1 - Minimal","Minimal","Current",8996,0.3000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","2","Phase 2 - Stressed","Stressed","Current",17991,0.6000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","3","Phase 3 - Crisis","Crisis","Current",2999,0.1000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",2999,0.1000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sanaag Urban (Ceel Afweyn and Laasqoray)","SOM","ALL","All Phases - Total","Total","Current",29985,1.0000
"Sanaag Urban (Ceerigaabo)","SOM","1","Phase 1 - Minimal","Minimal","Current",10864,0.3500
"Sanaag Urban (Ceerigaabo)","SOM","2","Phase 2 - Stressed","Stressed","Current",17073,0.5500
"Sanaag Urban (Ceerigaabo)","SOM","3","Phase 3 - Crisis","Crisis","Current",3104,0.1000
"Sanaag Urban (Ceerigaabo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3104,0.1000
"Sanaag Urban (Ceerigaabo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Sanaag Urban (Ceerigaabo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sanaag Urban (Ceerigaabo)","SOM","ALL","All Phases - Total","Total","Current",31041,1.0000
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","1","Phase 1 - Minimal","Minimal","Current",3518,0.2500
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","2","Phase 2 - Stressed","Stressed","Current",7739,0.5500
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","3","Phase 3 - Crisis","Crisis","Current",2111,0.1500
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",2814,0.2000
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",704,0.0500
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sanaag Urban IDPs (Ceel Afweyn and Laasqoray)","SOM","ALL","All Phases - Total","Total","Current",14070,1.0000
"Sanaag Urban IDPs (Ceerigaabo)","SOM","1","Phase 1 - Minimal","Minimal","Current",2628,0.2500
"Sanaag Urban IDPs (Ceerigaabo)","SOM","2","Phase 2 - Stressed","Stressed","Current",4730,0.4500
"Sanaag Urban IDPs (Ceerigaabo)","SOM","3","Phase 3 - Crisis","Crisis","Current",2102,0.2000
"Sanaag Urban IDPs (Ceerigaabo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3153,0.3000
"Sanaag Urban IDPs (Ceerigaabo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1051,0.1000
"Sanaag Urban IDPs (Ceerigaabo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sanaag Urban IDPs (Ceerigaabo)","SOM","ALL","All Phases - Total","Total","Current",10510,1.0000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",48291,0.3000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",48291,0.3000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",48291,0.3000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",64388,0.4000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",16097,0.1000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Coastal Deeh Pastoral and Fishing (L. Shabelle & M. Shabelle)","SOM","ALL","All Phases - Total","Total","Current",160971,1.0000
"Shabelle Cowpea Belt (M Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",58983,0.4500
"Shabelle Cowpea Belt (M Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",52429,0.4000
"Shabelle Cowpea Belt (M Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",13107,0.1000
"Shabelle Cowpea Belt (M Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",19661,0.1500
"Shabelle Cowpea Belt (M Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",6554,0.0500
"Shabelle Cowpea Belt (M Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Cowpea Belt (M Shabelle)","SOM","ALL","All Phases - Total","Total","Current",131073,1.0000
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","1","Phase 1 - Minimal","Minimal","Current",312015,0.7000
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","2","Phase 2 - Stressed","Stressed","Current",111434,0.2500
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","3","Phase 3 - Crisis","Crisis","Current",22287,0.0500
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",22287,0.0500
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Peri-urban Agropastoral (Banadir)","SOM","ALL","All Phases - Total","Total","Current",445736,1.0000
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",129997,0.2500
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",207995,0.4000
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",155996,0.3000
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",181996,0.3500
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",25999,0.0500
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Riverine Gravity Irrigation (L Shabelle & M Shabelle)","SOM","ALL","All Phases - Total","Total","Current",519988,1.0000
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",203792,0.2500
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",285309,0.3500
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",244551,0.3000
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",326068,0.4000
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",81517,0.1000
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Sorghum High Potential Agropastoral (M Shabelle and L Shabelle)","SOM","ALL","All Phases - Total","Total","Current",815169,1.0000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",58059,0.6000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",29030,0.3000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",9677,0.1000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9677,0.1000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Southern Inland Pastoral (M Shabelle and L Shabelle)","SOM","ALL","All Phases - Total","Total","Current",96765,1.0000
"Shabelle Southern Rainfed (L Shabelle)","SOM","1","Phase 1 - Minimal","Minimal","Current",32387,0.5000
"Shabelle Southern Rainfed (L Shabelle)","SOM","2","Phase 2 - Stressed","Stressed","Current",22671,0.3500
"Shabelle Southern Rainfed (L Shabelle)","SOM","3","Phase 3 - Crisis","Crisis","Current",9716,0.1500
"Shabelle Southern Rainfed (L Shabelle)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9716,0.1500
