"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Banadir Urban IDPs (Mogadishu)","SOM","ALL","All Phases - Total","Total","Current",1109273,1.0000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","1","Phase 1 - Minimal","Minimal","Current",19443,0.4000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","2","Phase 2 - Stressed","Stressed","Current",24304,0.5000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","3","Phase 3 - Crisis","Crisis","Current",4861,0.1000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",4861,0.1000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","ALL","All Phases - Total","Total","Current",48607,1.0000
"Bari Urban (Bossaso)","SOM","1","Phase 1 - Minimal","Minimal","Current",51515,0.4500
"Bari Urban (Bossaso)","SOM","2","Phase 2 - Stressed","Stressed","Current",51515,0.4500
"Bari Urban (Bossaso)","SOM","3","Phase 3 - Crisis","Crisis","Current",11448,0.1000
"Bari Urban (Bossaso)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",11448,0.1000
"Bari Urban (Bossaso)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bari Urban (Bossaso)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bari Urban (Bossaso)","SOM","ALL","All Phases - Total","Total","Current",114478,1.0000
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","1","Phase 1 - Minimal","Minimal","Current",2456,0.1500
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","2","Phase 2 - Stressed","Stressed","Current",6549,0.4000
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","3","Phase 3 - Crisis","Crisis","Current",4912,0.3000
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",7367,0.4500
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2456,0.1500
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)","SOM","ALL","All Phases - Total","Total","Current",16372,1.0000
"Bari Urban IDPs (Bossaso)","SOM","1","Phase 1 - Minimal","Minimal","Current",4823,0.0500
"Bari Urban IDPs (Bossaso)","SOM","2","Phase 2 - Stressed","Stressed","Current",38583,0.4000
"Bari Urban IDPs (Bossaso)","SOM","3","Phase 3 - Crisis","Crisis","Current",28937,0.3000
"Bari Urban IDPs (Bossaso)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",53051,0.5500
"Bari Urban IDPs (Bossaso)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",24114,0.2500
"Bari Urban IDPs (Bossaso)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bari Urban IDPs (Bossaso)","SOM","ALL","All Phases - Total","Total","Current",96457,1.0000
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","1","Phase 1 - Minimal","Minimal","Current",37019,0.1000
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","2","Phase 2 - Stressed","Stressed","Current",129566,0.3500
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","3","Phase 3 - Crisis","Crisis","Current",129566,0.3500
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",203605,0.5500
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",74038,0.2000
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay-Bakool Agro-pastoral Low Potential (Bay and Bakool)","SOM","ALL","All Phases - Total","Total","Current",370190,1.0000
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","1","Phase 1 - Minimal","Minimal","Current",40958,0.1000
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","2","Phase 2 - Stressed","Stressed","Current",143354,0.3500
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","3","Phase 3 - Crisis","Crisis","Current",143354,0.3500
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",225271,0.5500
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",81917,0.2000
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay-Gedo Sorghum High Potential Agropastoral (Bay and Gedo)","SOM","ALL","All Phases - Total","Total","Current",409584,1.0000
"Bay Southern Inland Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",11708,0.6000
"Bay Southern Inland Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",5854,0.3000
"Bay Southern Inland Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",1951,0.1000
"Bay Southern Inland Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1951,0.1000
"Bay Southern Inland Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bay Southern Inland Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
